index,tradeDate,volumnB,买价bid,最新价last,卖价ask,volumnS,,买量,买价,最新价,卖价,卖量
0,2019/1/23,2,0.2995,0.2995,0.3011,3,,355,0.0001,0.0002,0.0003,52
1,2019/1/23,1,0.2468,0.2494,0.2495,2,,14,0.0005,0.0006,0.0006,29
2,2019/1/23,2,0.1994,0.1994,0.2015,1,,23,0.001,0.001,0.0011,66
3,2019/1/23,56,0.1513,0.1513,0.1519,10,,10,0.0022,0.0022,0.0023,2
4,2019/1/23,1,0.1453,0.1457,0.1478,1,,377,0.0023,0.0023,0.0025,8
5,2019/1/23,10,0.1043,0.1048,0.1048,16,,4,0.0057,0.0058,0.0058,294
6,2019/1/23,2,0.1016,0.1016,0.1017,2,,32,0.006,0.0062,0.0063,1
7,2019/1/23,75,0.0635,0.0635,0.0636,211,,3,0.0156,0.0157,0.0157,251
8,2019/1/23,1,0.0605,0.0613,0.0613,5,,67,0.0159,0.0159,0.016,1
9,2019/1/23,41,0.0314,0.0315,0.0315,242,,17,0.0322,0.0323,0.0323,90
10,2019/1/23,1,0.0312,0.0313,0.0313,18,,43,0.0338,0.0342,0.0342,1
11,2019/1/23,61,0.0124,0.0125,0.0125,97,,16,0.0626,0.063,0.063,137
12,2019/1/23,290,0.0117,0.0117,0.0125,1,,1,0.0633,0.0641,0.0647,1
13,2019/1/23,126,0.0039,0.004,0.004,70,,2,0.1032,0.1053,0.1044,1
14,2019/1/23,17,0.004,0.0041,0.0041,39,,12,0.1046,0.1046,0.1054,1
15,2019/1/23,1,0.0013,0.0014,0.0015,1,,1,0.15,0.1527,0.1513,1
16,2019/1/23,3,0.0014,0.0014,0.0015,120,,7,0.1518,0.1526,0.1526,6
17,2019/1/23,66,0.0004,0.0006,0.0007,4,,1,0.1989,0.2007,0.1994,1
18,2019/1/23,13,0.0004,0.0004,0.0006,17,,10,0.1996,0.2003,0.2003,1
19,2019/1/23,70,0.0002,0.0004,0.0004,2,,1,0.2464,0.2495,0.248,1
20,2019/1/23,226,0.0001,0.0003,0.0003,41,,1,0.2484,0.2513,0.25,1
21,2019/1/23,667,0.0002,0.0003,0.0003,61,,1,0.2981,0.3029,0.2999,1
22,2019/1/23,1731,0.0001,0.0002,0.0002,1,,10,0.349,0.3504,0.3498,1
23,2019/1/23,1,0.3069,0.3044,0.3087,1,,40,0.0017,0.0019,0.0018,1
24,2019/1/23,1,0.2588,0.2574,0.2596,2,,10,0.0035,0.0035,0.0036,3
25,2019/1/23,1,0.2122,0.21,0.2138,1,,36,0.0065,0.0065,0.0066,28
26,2019/1/23,1,0.1684,0.1677,0.1698,1,,10,0.0122,0.0121,0.0123,2
27,2019/1/23,1,0.1254,0.1279,0.1279,22,,1,0.0222,0.0225,0.0225,18
